Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1994-10-01,2.39892343781783,2.58784460396727,-0.188921166149439,0.586670758695846,,,,,,,,,,,,1994-10-01,1.74667423716518,1.0737616831354,0.398976799996743,,0.789996102243963
1995-01-01,2.32022040832004,2.52273955582201,-0.202519147501965,0.563993220786074,,,,,,,,,,,,1995-01-01,1.74911480075575,1.07528327903512,0.398812843496994,,1.48669464303674
1995-04-01,2.3032627941716,2.48855437106573,-0.185291576894137,0.416940509320966,,,,,,,,,,,,1995-04-01,1.75158391629173,1.07687901248394,0.398885920980724,,1.8117890157934
1995-07-01,2.3557898057898,2.58636327414609,-0.230573468356288,0.117643962594002,,,,,,,,,,,,1995-07-01,1.72075014159656,1.07856414362161,0.399268902588498,,1.60030418487995
1995-10-01,2.39885703584099,2.62434104972866,-0.225484013887668,-0.0149712765296499,,,,,,,,,,,,1995-10-01,1.69867330591361,1.08029474001236,0.399884201151131,,1.47885601634145
1996-01-01,2.39335279540779,2.67913210425261,-0.285779308844821,-0.281197717030636,,,,,,,,,,,,1996-01-01,1.6740238351423,1.08203911469689,0.400686636134049,,1.23831435607882
1996-04-01,2.63816228140403,2.88066900558056,-0.242506724176535,-0.131472477420061,,,,,,,,,,,,1996-04-01,1.61956882343497,1.08378356933043,0.40159679844984,,0.978605042917244
1996-07-01,2.64777122039905,2.89583959194695,-0.248068371547906,-0.0372730839548012,,,,,,,,,,,,1996-07-01,1.60225446367566,1.08544625414444,0.402332372159942,,1.05851633120307
1996-10-01,2.76869400598439,2.9467936557018,-0.178099649717408,0.166550316595817,,,,,,,,,,,,1996-10-01,1.58823819761745,1.08707673709018,0.403066507071771,,0.841250184877928
1997-01-01,2.68884050865308,2.94096674273528,-0.252126234082202,-0.0328468246948432,,,,,,,,,,,,1997-01-01,1.58532199726249,1.08870286591813,0.403785134489552,,0.920214414877708
1997-04-01,2.93697084284724,3.12056938241178,-0.183598539564541,0.189891332853904,,,,,,,,,,,,1997-04-01,1.56270862319532,1.09037638618426,0.40456637450713,,0.887536697564787
1997-07-01,2.88077925985227,3.20719235525153,-0.326413095399257,0.0053001425714001,,,,,,,,,,,,1997-07-01,1.55441958729943,1.09201083899258,0.405050998038595,,1.17515526754029
1997-10-01,2.87789600948113,3.20947478575695,-0.33157877627582,0.0390173832698792,,,,,,,,,,,,1997-10-01,1.55223921417919,1.09361719967435,0.405372409196292,,1.40131654745667
1998-01-01,2.90902767975274,3.26156245355219,-0.352534773799451,-0.0421257959543482,,,,,,,,,,,,1998-01-01,1.55032574165437,1.09525151595529,0.405679749125207,,1.48374986194075
1998-04-01,2.94441609702402,3.29836903656466,-0.353952939540645,-0.105084042165004,,,,,,,,,,,,1998-04-01,1.55026401637801,1.09690481915218,0.405889883528684,,1.63959956654528
1998-07-01,3.08272973023301,3.39400594224737,-0.311276212014355,-0.0414595124816515,,,,,,,,,,,,1998-07-01,1.55237010575169,1.09856923821481,0.405960683181614,,1.41602679693777
1998-10-01,3.24096327603655,3.54537483489275,-0.304411558856192,0.0404127326113439,,,,,,,,,,,,1998-10-01,1.56325351214688,1.10020388986021,0.405720080627598,,0.537576761907166
1999-01-01,3.20534867693042,3.54746353315244,-0.342114856222025,0.0168551954971008,,,,,,,,,,,,1999-01-01,1.56897397570432,1.10175871638797,0.405073163969103,,0.479705149402701
1999-04-01,3.22860483218156,3.53450083563012,-0.305896003448554,0.0846717977801745,,,,,,,,,,,,1999-04-01,1.57210536943535,1.10330298197877,0.404325726287126,,0.432069424074917
1999-07-01,3.3429982480182,3.62158032008112,-0.278582072062922,0.169861806956646,,,,,,,,,,,,1999-07-01,1.58499616600168,1.10487780275146,0.403532218870677,,0.673790203701578
1999-10-01,3.54761720544755,3.74267390625951,-0.19505670081196,0.494341200672011,,,,,,,,,,,,1999-10-01,1.60914523096273,1.10645256120714,0.402556458728478,,0.544566961244581
2000-01-01,3.46085372821225,3.6144693585965,-0.15361563038425,0.576370213145196,,,,,,,,,,,,2000-01-01,1.60439633018248,1.10800587082731,0.401427244618371,,0.756421506592295
2000-04-01,3.61242560642689,3.82135613659552,-0.208930530168623,0.442330176675114,,,,,,,,,,,,2000-04-01,1.64043438749911,1.10965583287768,0.400531932048231,,1.24640577630665
2000-07-01,3.47266513887943,3.65223447934639,-0.179569340466957,0.404287552394408,,,,,,,,,,,,2000-07-01,1.62636573785539,1.11133557104691,0.399628963735478,,1.53998459639217
2000-10-01,3.47958885810832,3.64685774119288,-0.167268883084564,0.129992523526312,,,,,,,,,,,,2000-10-01,1.62625963556421,1.11313677265801,0.399094803488901,,1.45673506638589
2001-01-01,3.36719664072567,3.46087453566229,-0.0936778949366279,-0.134202691431369,,,,,,,,,,,,2001-01-01,1.60537239184277,1.11504981716279,0.398811614953694,,0.500559621506434
2001-04-01,3.30688026475335,3.50513827464563,-0.198258009892286,-0.765674463172445,,,,,,,,,,,,2001-04-01,1.60916167731017,1.11709576231867,0.39881056277312,,-0.823423921889947
2001-07-01,2.99321784626389,3.30467835484142,-0.311460508577534,-1.33642467463835,,,,,,,,,,,,2001-07-01,1.58926231630084,1.11923766508871,0.398960954320826,,-1.16354769886392
2001-10-01,2.98826164512019,3.22458719288393,-0.236325547763746,-1.39011826692047,,,,,,,,,,,,2001-10-01,1.58286710108698,1.12148335679542,0.399262825608164,,-2.56510325726593
2002-01-01,2.91700484483289,3.22651200831569,-0.309507163482798,-1.50970500688265,,,,,,,,,,,,2002-01-01,1.58440764303662,1.12382075059221,0.399644566675669,,-2.56759897964176
2002-04-01,2.93817461926157,3.11994396792129,-0.181769348659727,-0.994390839684684,,,,,,,,,,,,2002-04-01,1.58088419579718,1.12623038059316,0.40006198191268,,-2.74389830234709
